0.0, 
0.004166666666666667, 
0.0062499999999999995, 
0.08958333333333335, 
0.09166666666666679, 
0.09583333333333344, 
0.10000000000000009, 
0.10625000000000018, 
0.11666666666666692, 
0.02291666666666692, 
0.05416666666666692, 
-0.12083333333333313, 
-0.10833333333333317, 
0.02499999999999991, 
0.03750000000000009, 
0.039583333333333304, 
0.04375000000000018, 
0.04375000000000018, 
0.0708333333333333, 
0.09583333333333321, 
-0.1020833333333333, 
-0.043749999999999734, 
-0.04166666666666652, 
-0.037499999999999645, 
-0.08749999999999947, 
-0.06666666666666643, 
-0.06666666666666643, 
-0.06458333333333321, 
-0.06458333333333321, 
-0.0625, 
0.022916666666666252, 
0.027083333333332682, 
0.11458333333333304, 
-0.125, 
-0.03958333333333375, 
-0.0333333333333341, 
-0.012500000000001066, 
-0.012500000000001066, 
-0.006250000000001421, 
0.008333333333331971, 
0.06874999999999876, 
0.08124999999999893, 
0.08333333333333215, 
-0.11875000000000124, 
-0.10833333333333428, 
-0.10625000000000107, 
-0.10416666666666785, 
-0.09166666666666767, 
-0.09166666666666767, 
-0.043750000000001066, 
-8.881784197001252e-16, 
0.08333333333333215, 
0.1229166666666659, 
0.01249999999999929, 
0.01666666666666572, 
0.022916666666665364, 
0.027083333333331794, 
0.03749999999999787, 
0.03958333333333108, 
-0.11666666666666892, 
-0.05625000000000213, 
-0.0520833333333357, 
-0.04791666666666927, 
-0.0041666666666699825, 
-0.0020833333333367676, 
-0.0020833333333367676, 
0.006249999999996092, 
0.012499999999995737, 
0.014583333333328952, 
0.09791666666666288, 
0.09999999999999609, 
0.11041666666666217, 
0.006249999999996092, 
0.024999999999996803, 
-0.07708333333333606, 
-0.06458333333333677, 
-0.06250000000000355, 
0.12083333333333002, 
-0.12083333333333712, 
-0.1166666666666707, 
-0.11250000000000426, 
-0.11041666666667105, 
-0.10208333333333819, 
-0.10000000000000497, 
-0.09791666666667176, 
-0.11250000000000426, 
-0.09583333333333677, 
-0.09375000000000355, 
-0.09166666666667034, 
-0.09166666666667034, 
-0.0854166666666707, 
-0.0854166666666707, 
-0.07916666666667105, 
0.03958333333332931, 
0.0562499999999968, 
0.06041666666666323, 
0.06249999999999645, 
0.06249999999999645, 
0.06458333333332966, 
0.08333333333333037, 
0.08958333333333002, 
0.11041666666666394, 
-0.09583333333333677, 
-0.0375000000000032, 
-0.029166666666670338, 
-0.018750000000004263, 
-0.014583333333337833, 
-0.010416666666671404, 
-0.006250000000004974, 
-0.004166666666671759, 
0.04374999999999574, 
-0.07708333333333783, 
-0.06458333333333854, 
-0.04791666666667105, 
-0.037500000000004974, 
-0.033333333333338544, 
-0.020833333333339255, 
-0.01875000000000604, 
-0.1208333333333389, 
-0.08541666666667247, 
-0.056250000000005684, 
-0.05416666666667247, 
-0.006250000000004974, 
-0.06458333333333854, 
-0.037500000000004974, 
-0.11666666666667247, 
-0.06666666666667176, 
-0.006250000000004974, 
-0.0041666666666699825, 
0.012499999999995737, 
0.031249999999996447, 
0.056249999999995026, 
0.12083333333333002, 
-0.08125000000000426, 
-0.014583333333337833, 
-0.014583333333337833, 
-0.012500000000002842, 
-0.006250000000001421, 
0.00833333333333286, 
0.07708333333333428, 
0.08750000000000213, 
-0.0729166666666643, 
-0.0708333333333293, 
0.0729166666666714, 
0.10000000000000497, 
0.12291666666667211, 
-0.0812499999999936, 
-0.07499999999999218, 
0.11458333333334281, 
-0.12499999999998934, 
-0.12499999999998934, 
-0.12499999999998934, 
-0.12291666666665435, 
-0.06666666666665577, 
-0.05833333333332291, 
-0.06666666666665577, 
-0.05208333333332149, 
-0.04374999999998863, 
0.06041666666667922, 
0.08333333333334636, 
-0.10624999999998863, 
-0.0708333333333222, 
-0.06666666666665577, 
-0.06458333333332078, 
-0.06249999999998579, 
-0.020833333333317938, 
-0.004166666666652219, 
0.0125000000000135, 
0.04583333333334849, 
0.05208333333334991, 
0.05208333333334991, 
0.05208333333334991, 
0.05208333333334991, 
0.058333333333351334, 
0.08125000000001847, 
0.06250000000001776, 
0.06458333333335275, 
0.037500000000019185, 
0.047916666666687036, 
0.06250000000002132, 
0.06875000000002274, 
0.10000000000002274, 
0.10625000000002416, 
0.10833333333335915, 
-0.12291666666664014, 
-0.11874999999997371, 
-0.10208333333330799, 
-0.09583333333330657, 
-0.09583333333330657, 
-0.09166666666664014, 
-0.08541666666663872, 
0.07083333333336128, 
0.08125000000002913, 
-0.1104166666666373, 
-0.1083333333333023, 
-0.1083333333333023, 
-0.1083333333333023, 
-0.06666666666663446, 
-0.016666666666633745, 
-0.010416666666632324, 
-0.010416666666632324, 
0.06666666666670196, 
0.07083333333336839, 
0.08125000000003624, 
0.08333333333337123, 
-0.10416666666662877, 
-0.09999999999996234, 
-0.00416666666662735, 
0.02916666666670764, 
-0.08958333333329094, 
-0.07083333333329023, 
0.10416666666671048, 
-0.11249999999995453, 
-0.06666666666662024, 
-0.062499999999953815, 
-0.020833333333285964, 
-0.016666666666619534, 
-0.010416666666618113, 
-0.010416666666618113, 
0.012500000000049027, 
0.03541666666671617, 
-0.03958333333328312, 
-0.022916666666617402, 
0.020833333333381887, 
0.03333333333338118, 
-0.11249999999995097, 
-0.09166666666661882, 
-0.006249999999951683, 
0.004166666666716168, 
0.05208333333338189, 
0.05833333333338331, 
-0.08124999999995097, 
-0.07083333333328312, 
-0.0020833333332817006, 
0.06666666666671972, 
0.081250000000054, 
0.09583333333338828, 
0.11458333333338899, 
0.11875000000005542, 
-0.12083333333327673, 
0.008333333333389703, 
0.008333333333389703, 
0.0708333333333897, 
0.1020833333333897, 
-0.1145833333332753, 
-0.1145833333332753, 
-0.05833333333327673, 
-0.04583333333327744, 
0.03541666666672327, 
0.05208333333338899, 
0.058333333333390414, 
0.06666666666672327, 
0.11250000000005755, 
-0.1166666666666103, 
-0.10833333333327744, 
-0.006249999999944578, 
-0.004166666666609586, 
0.016666666666722563, 
0.018750000000057554, 
0.06250000000005684, 
0.08125000000005755, 
-0.07916666666660888, 
-0.056249999999941735, 
-0.035416666666609586, 
-0.043749999999942446, 
-0.022916666666610297, 
-0.06041666666661172, 
